date,hour,member_casual,rideable_type,count
2024-05-02,20,casual,electric_bike,1196
2024-05-02,20,member,classic_bike,2316
2024-05-02,20,member,electric_bike,4410
2024-05-02,21,casual,classic_bike,343
2024-05-02,21,casual,electric_bike,936
2024-05-02,21,member,classic_bike,1533
2024-05-02,21,member,electric_bike,3044
2024-05-02,22,casual,classic_bike,244
2024-05-02,22,casual,electric_bike,720
2024-05-02,22,member,classic_bike,1058
2024-05-02,22,member,electric_bike,2400
2024-05-02,23,casual,classic_bike,185
2024-05-02,23,casual,electric_bike,632
2024-05-02,23,member,classic_bike,773
2024-05-02,23,member,electric_bike,1799
2024-05-03,0,casual,classic_bike,143
2024-05-03,0,casual,electric_bike,508
2024-05-03,0,member,classic_bike,434
2024-05-03,0,member,electric_bike,1192
2024-05-03,1,casual,classic_bike,67
2024-05-03,1,casual,electric_bike,237
2024-05-03,1,member,classic_bike,224
2024-05-03,1,member,electric_bike,560
2024-05-03,2,casual,classic_bike,37
2024-05-03,2,casual,electric_bike,160
2024-05-03,2,member,classic_bike,125
2024-05-03,2,member,electric_bike,307
2024-05-03,3,casual,classic_bike,25
2024-05-03,3,casual,electric_bike,95
2024-05-03,3,member,classic_bike,91
2024-05-03,3,member,electric_bike,198
2024-05-03,4,casual,classic_bike,23
2024-05-03,4,casual,electric_bike,65
2024-05-03,4,member,classic_bike,103
2024-05-03,4,member,electric_bike,214
2024-05-03,5,casual,classic_bike,24
2024-05-03,5,casual,electric_bike,112
2024-05-03,5,member,classic_bike,263
2024-05-03,5,member,electric_bike,573
2024-05-03,6,casual,classic_bike,67
2024-05-03,6,casual,electric_bike,252
2024-05-03,6,member,classic_bike,843
2024-05-03,6,member,electric_bike,1782
2024-05-03,7,casual,classic_bike,140
2024-05-03,7,casual,electric_bike,581
2024-05-03,7,member,classic_bike,1814
2024-05-03,7,member,electric_bike,3832
2024-05-03,8,casual,classic_bike,212
2024-05-03,8,casual,electric_bike,785
2024-05-03,8,member,classic_bike,2927
2024-05-03,8,member,electric_bike,5105
2024-05-03,9,casual,classic_bike,283
2024-05-03,9,casual,electric_bike,707
2024-05-03,9,member,classic_bike,2350
2024-05-03,9,member,electric_bike,3813
2024-05-03,10,casual,classic_bike,407
2024-05-03,10,casual,electric_bike,700
2024-05-03,10,member,classic_bike,1705
2024-05-03,10,member,electric_bike,2862
2024-05-03,11,casual,classic_bike,456
2024-05-03,11,casual,electric_bike,811
2024-05-03,11,member,classic_bike,1822
2024-05-03,11,member,electric_bike,2905
2024-05-03,12,casual,classic_bike,537
2024-05-03,12,casual,electric_bike,1022
2024-05-03,12,member,classic_bike,2062
2024-05-03,12,member,electric_bike,3298
2024-05-03,13,casual,classic_bike,569
2024-05-03,13,casual,electric_bike,1109
2024-05-03,13,member,classic_bike,2137
2024-05-03,13,member,electric_bike,3784
2024-05-03,14,casual,classic_bike,565
2024-05-03,14,casual,electric_bike,1411
2024-05-03,14,member,classic_bike,2292
2024-05-03,14,member,electric_bike,4421
2024-05-03,15,casual,classic_bike,680
2024-05-03,15,casual,electric_bike,1732
2024-05-03,15,member,classic_bike,2518
2024-05-03,15,member,electric_bike,5146
2024-05-03,16,casual,classic_bike,600
2024-05-03,16,casual,electric_bike,1784
2024-05-03,16,member,classic_bike,2966
2024-05-03,16,member,electric_bike,5726
2024-05-03,17,casual,classic_bike,754
2024-05-03,17,casual,electric_bike,1955
2024-05-03,17,member,classic_bike,3767
2024-05-03,17,member,electric_bike,6869
2024-05-03,18,casual,classic_bike,662
2024-05-03,18,casual,electric_bike,1730
2024-05-03,18,member,classic_bike,3365
2024-05-03,18,member,electric_bike,6124
2024-05-03,19,casual,classic_bike,490
2024-05-03,19,casual,electric_bike,1381
2024-05-03,19,member,classic_bike,2416
2024-05-03,19,member,electric_bike,4825
2024-05-03,20,casual,classic_bike,302
2024-05-03,20,casual,electric_bike,916
2024-05-03,20,member,classic_bike,1453
2024-05-03,20,member,electric_bike,3293
2024-05-03,21,casual,classic_bike,212
2024-05-03,21,casual,electric_bike,772
2024-05-03,21,member,classic_bike,1037
2024-05-03,21,member,electric_bike,2450
2024-05-03,22,casual,classic_bike,240
2024-05-03,22,casual,electric_bike,716
2024-05-03,22,member,classic_bike,854
2024-05-03,22,member,electric_bike,2156
2024-05-03,23,casual,classic_bike,167
2024-05-03,23,casual,electric_bike,603
2024-05-03,23,member,classic_bike,712
2024-05-03,23,member,electric_bike,1586
2024-05-04,0,casual,classic_bike,157
2024-05-04,0,casual,electric_bike,492
2024-05-04,0,member,classic_bike,481
2024-05-04,0,member,electric_bike,1305
2024-05-04,1,casual,classic_bike,105
2024-05-04,1,casual,electric_bike,374
2024-05-04,1,member,classic_bike,302
2024-05-04,1,member,electric_bike,887
2024-05-04,2,casual,classic_bike,78
2024-05-04,2,casual,electric_bike,267
2024-05-04,2,member,classic_bike,223
2024-05-04,2,member,electric_bike,536
2024-05-04,3,casual,classic_bike,46
